,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Join year,Join month,Last Payment year,Last Payment month,Account Since,subscription type_Basic,subscription type_Premium,subscription type_Standard,Country_type_Australia,Country_type_Brazil,Country_type_Canada,Country_type_France,Country_type_Germany,Country_type_Italy,Country_type_Mexico,Country_type_Spain,Country_type_United Kingdom,Country_type_United States,Device_type_Laptop,Device_type_Smart TV,Device_type_Smartphone,Device_type_Tablet,Device_type_Laptop,Device_type_Smart TV,Device_type_Smartphone,Device_type_Tablet,Age_bins
0,Basic,10,2022-01-15,2023-10-06,United States,28,Male,Smartphone,1,2022,1,2023,10,580,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,18-27
1,Premium,15,2021-05-09,2023-06-22,Canada,35,Female,Tablet,1,2021,5,2023,6,831,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,28-37
2,Standard,12,2023-02-28,2023-06-27,United Kingdom,42,Male,Smart TV,1,2023,2,2023,6,171,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,38-47
3,Standard,12,2022-10-07,2023-06-26,Australia,51,Female,Laptop,1,2022,10,2023,6,315,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,48-57
4,Basic,10,2023-01-05,2023-06-28,Germany,33,Male,Smartphone,1,2023,1,2023,6,225,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,28-37
5,Premium,15,2022-03-18,2023-06-27,France,29,Female,Smart TV,1,2022,3,2023,6,518,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28-37
6,Standard,12,2021-09-12,2023-06-25,Brazil,46,Male,Tablet,1,2021,9,2023,6,705,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
7,Basic,10,2023-02-04,2023-06-24,Mexico,39,Female,Laptop,1,2023,2,2023,6,195,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,38-47
8,Standard,12,2022-10-20,2023-06-23,Spain,37,Male,Smartphone,1,2022,10,2023,6,302,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,28-37
9,Premium,15,2023-07-01,2023-06-22,Italy,44,Female,Smart TV,1,2023,7,2023,6,48,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,38-47
10,Basic,10,2022-05-16,2023-06-22,United States,31,Female,Smartphone,1,2022,5,2023,6,459,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,28-37
11,Premium,15,2023-03-23,2023-06-28,Canada,45,Male,Tablet,1,2023,3,2023,6,148,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,38-47
